Frequency Log(Hz), Gain (dB), Phase (deg)
1.99990217895395, -61.5950900879686, 0.838656281648933
2.05008717709257, -61.3937018154963, -0.259681124728322
2.1000768217873, -61.4341899543444, -0.47078262322657
2.14994254482836, -61.5023120697292, -0.789390145295734
2.20005968593025, -61.1356222156611, 1.17871729577194
2.25001979289102, -61.2821970297599, 0.208112108942142
2.30002096077692, -61.3685120571825, 0.331770351072711
2.35003459351238, -61.4643695706728, -0.356205111110073
2.39998107663457, -61.0803710980464, 0.346130219803387
2.44996905386885, -61.2705522224719, 1.05446749968082
2.50000386498445, -61.2637570104168, 0.889056218914122
2.5500251058573, -61.4131494643839, 0.987707191129893
2.59998545159895, -61.1880207440283, 1.93285202142074
2.64997930460849, -61.552813303432, 0.77907921713718
2.70000347479331, -61.3576007826946, 0.665354769645879
2.74999323886876, -61.406499728147, 0.979387811241268
2.80000942972812, -61.4095847086795, 1.50152983869402
2.84999943002093, -61.1806845528094, 2.0482651171055
2.89999824459179, -61.2883156501686, 2.14263247803696
2.94998937695395, -61.4356144623899, 3.32317968313473
3.00000330702098, -61.431812936432, 4.19850612477218
3.04999706515493, -61.5242412966711, 3.02531355233962
3.09999650842934, -61.271417955875, 3.53325185084147
3.14999981694791, -61.4059012604832, 4.63628900768493
3.19999588945832, -61.1698371202848, 5.15262420019491
3.24999704841057, -61.3150752714707, 4.21603094599917
3.30000068984962, -61.140140877947, 4.6537351575073
3.34999846102084, -61.3463251123575, 6.45777012204866
3.39999717920894, -61.2423065931287, 7.63743971474368
3.44999775711607, -61.0514493704942, 7.94102253665229
3.49999746978964, -61.2950080833998, 9.95699230410312
3.55000230764832, -61.2949569745708, 10.1824530104796
3.6000006915169, -61.0515888175334, 11.3350209005697
3.65000194238805, -61.2004585168592, 12.318478246173
3.69999943970551, -60.7654421492176, 13.0850611180249
3.75000043149688, -60.8884970272383, 16.5301947259558
3.7999998142457, -60.8864082298281, 18.2560007725519
3.84999943002093, -60.7031807927908, 19.7672140795838
3.90000079057144, -60.5198367328057, 21.8011205592605
3.95000072260443, -60.4028095568528, 23.3331514708565
3.99999926235039, -60.2438235966011, 27.9113854062484
4.05000066999145, -60.0849819577056, 30.0284860336249
4.09999972124884, -59.6767297200854, 32.4932468322404
4.14999981694791, -59.3277770168395, 36.2579293424487
4.19999971751092, -59.0799702477471, 39.3034701649
4.25000046015857, -58.6371225366038, 42.1785812855563
4.29999967627841, -58.2407008356563, 44.8863057262189
4.35000026771681, -57.6183837879112, 48.8775660108167
4.40000039965217, -57.0952553861238, 51.941261396095
4.44999990978314, -56.3081945990496, 55.8048365597225
4.50000002787886, -55.7399284473925, 58.0010357249893
4.5500000277616, -54.8816561942236, 61.2898163890548
4.60000018352825, -54.15009505326, 64.3921293167939
4.65000013140911, -53.3044794768769, 66.1712414902533
4.69999984321598, -52.4355456734364, 68.8617977192614
4.7500000718683, -51.5915774025033, 70.903762268708
4.80000013476521, -50.6304435560914, 72.8966125135088
4.8500000013479, -49.7510663166168, 74.5223552675086
4.90000002677911, -48.738976638185, 75.7989065108148
4.95000004187376, -47.832592756015, 77.1667096869079
5.00000007128752, -46.8622626920327, 78.4899460970998
5.04999994902654, -45.8956215079466, 79.6833046704518
5.10000004252948, -44.9223324826516, 80.640153678462
5.14999996011875, -43.9580224633532, 81.5404825512261
5.19999997271323, -42.9885743233431, 82.2826738650101
5.25000000526039, -42.0067761223135, 83.0220584254912
5.29999998035002, -41.0297118290325, 83.6368740902852
5.34999999671289, -40.045839560166, 84.1778544471049
5.39999999709807, -39.0436886105257, 84.6520694860282
5.44999998153852, -38.0520362421354, 84.9682925875559
5.50000002787886, -37.0547194532682, 85.2814331219012
5.5500000277616, -36.0765628311393, 85.5571274849354
5.59999998033263, -35.0665387065144, 85.8408036462021
5.64999999558539, -34.0604719344225, 85.9876216146759
5.70000000462006, -33.0704759815547, 86.1920641424404
5.74999999994255, -32.0582047758729, 86.1771060365938
5.80000000655743, -31.059164598404, 86.2144854157494
5.8500000013479, -30.0575200902463, 86.2554115352903
5.90000000131934, -29.0478169932451, 86.1769530210949
5.94999999649168, -28.0194313641355, 86.1167780981162
5.99999999039388, -27.0098881064196, 85.9793067381285
6.05000000309894, -25.9960846321254, 85.722194790846
6.0999999943374, -24.9574122375695, 85.43688499607
6.15000000306999, -23.9204589956532, 85.1208775312374
6.19999999823345, -22.8698484443414, 84.7188267607411
6.25000000526039, -21.8015969150641, 84.2196797659315
6.30000000062145, -20.7319305423089, 83.6306998757272
6.34999999671289, -19.611304247668, 83.0208434016533
6.39999999709807, -18.4629762557532, 81.9065095685625
6.45000000306514, -17.3077318716147, 80.9513254135174
6.50000000229804, -16.0770408071564, 79.6457778253038
6.54999999926294, -14.7637094562211, 78.1724111727422
6.60000000065219, -13.3965764945145, 76.1138618466044
6.65000000011285, -11.8775234687488, 73.40302976401
6.70000000058496, -10.1945436358591, 69.7256675107967
6.74999999994255, -8.32743021599291, 65.0310129465383
6.80000000014704, -6.22996893755668, 58.2292892623759
6.8500000013479, -3.84060373615722, 45.8025491431453
6.89999999877336, -1.55776363733596, 24.6101269071061
6.95000000102989, -0.875043710752321, -5.84459962988189
7.00000000050558, -2.49956699002988, -33.0729555315868
7.04999999949412, -4.99654024164997, -50.2465739316452
7.10000000076301, -7.3232868244995, -59.6044101761201
7.15000000020657, -9.48443603891677, -67.8416273474076
7.19999999950946, -11.3274631305533, -73.6906512181516
7.24999999957415, -12.9977651929854, -76.46314677405
7.29999999960788, -14.4814391246427, -76.222464970094
7.30102999566398, -14.5817560125884, -76.3058001445882
